id,origin,destination,algorithm,battery,obstacles_qty,distance,time_to_plan,distance_path,ratio,distance_to_objective,factibility,qty_wp,first_factible_route_found_time,exception
0,region_1,region_2,pfp,,0,338.8250173021828,39.62376356124878,343.20072802706363,1.0129143673029857,10.205038428126025,verify,14,,
1,region_1,region_3,pfp,,3,655.2877719661308,44.756635427474976,707.0963621370302,1.0790623484632598,19.539388773638063,verify,31,,
2,region_1,region_4,pfp,,4,659.0128783355639,35.2598602771759,699.7355087006868,1.0617933756741962,7.166952416962851,feasible,34,,
3,region_1,region_5,pfp,,7,697.4354471647061,54.558775901794434,764.0249527515409,1.0954776615635784,10.229532881643545,verify,31,,
4,region_1,region_6,pfp,,6,943.386637408425,51.77905535697937,580.2891308907973,0.6151127309635295,435.0466478051659,verify,26,,
5,region_1,base_1,pfp,,0,316.6454075722452,32.77963876724243,325.52463832300066,1.0280415585965181,17.05164666757095,verify,15,,
6,region_1,base_2,pfp,,2,439.8029760194451,38.024375915527344,464.9882186053396,1.0572648298423086,5.6098897970897985,feasible,19,,
7,region_1,base_3,pfp,,5,1032.0383310752431,53.36622095108032,612.381682705864,0.5933710641036422,535.0011771303442,verify,28,,
8,region_2,region_1,pfp,,0,338.8250173021828,38.079291582107544,352.88439788372455,1.0414945174163537,4.010236729340277,feasible,14,,
9,region_2,region_3,pfp,,3,350.5722150443821,36.72565937042236,221.38596368263782,0.6314988871967807,129.62478898234227,verify,14,,
10,region_2,region_4,pfp,,3,411.8304954731966,40.5327410697937,433.6380591427502,1.0529527655413098,16.024100181164073,verify,20,,
11,region_2,region_5,pfp,,7,633.0413962569659,53.36459708213806,680.0845846268867,1.0743129732874925,9.024233582591883,feasible,28,,
12,region_2,region_6,pfp,,5,788.3504002779168,61.5267972946167,561.8286164831455,0.7126635773700176,243.988572952476,verify,23,,
13,region_2,base_1,pfp,,0,121.15525698733995,36.6341450214386,129.4770441353432,1.0686869670778942,7.622951041489499,feasible,7,,
14,region_2,base_2,pfp,,3,561.6830281191778,41.07295107841492,552.5056474262956,0.983660925765172,19.585603352115374,verify,28,,
15,region_2,base_3,pfp,,6,852.9026076265086,62.73763108253479,950.2569981383111,1.1141447917280078,8.452944700703542,feasible,38,,
16,region_3,region_1,pfp,,3,655.2877719661308,43.49265933036804,737.8364850394833,1.1259732236810596,7.37758076441602,feasible,32,,
17,region_3,region_2,pfp,,3,350.5722150443821,33.42853808403015,30.22742181891168,0.08622309618885489,321.1292981171993,verify,4,,
18,region_3,region_4,pfp,,2,153.28729205990834,35.20350766181946,154.59071046256375,1.0085031080211528,11.9684541322965,verify,8,,
19,region_3,region_5,pfp,,7,535.1691822549889,38.73422074317932,84.83712374663716,0.15852393328996908,465.08736047456756,verify,7,,
20,region_3,region_6,pfp,,1,550.8277417826804,46.11811017990112,583.8617800779845,1.0599716314003973,8.012995945751598,feasible,24,,
21,region_3,base_1,pfp,,3,339.2394406545742,37.61125898361206,368.9412820311304,1.0875542104398164,14.666838748171763,verify,16,,
22,region_3,base_2,pfp,,5,673.8451171985862,50.92906451225281,493.45513921453573,0.7322975660430756,325.94872471017226,verify,23,,
23,region_3,base_3,pfp,,2,581.7048850048186,49.115654945373535,600.2654583318446,1.0319071986594581,4.883126300487501,feasible,23,,
24,region_4,region_1,pfp,,4,659.0128783355639,36.78772950172424,663.7299796947264,1.0071578287985452,13.482451072273255,verify,33,,
25,region_4,region_2,pfp,,3,411.8304954731966,40.90352725982666,438.4792903430712,1.0647081630981574,13.074849450982288,verify,20,,
26,region_4,region_3,pfp,,2,153.28729205990834,36.614622354507446,184.15516374680757,1.2013726726598792,9.205781541304823,feasible,9,,
27,region_4,region_5,pfp,,2,388.0135013250943,37.626121520996094,390.05386754877946,1.0052584928532569,14.554574579968111,verify,20,,
28,region_4,region_6,pfp,,2,407.6777086766563,40.97866439819336,447.367313196161,1.0973553463306571,9.0404616138537,feasible,17,,
29,region_4,base_1,pfp,,2,353.11597637796075,34.64754390716553,374.8915724840541,1.061666980716799,3.956214261947619,feasible,18,,
30,region_4,base_2,pfp,,4,578.1423053352579,51.28338027000427,319.09028900884186,0.551923438337219,322.0781763112359,verify,16,,
31,region_4,base_3,pfp,,2,452.5572495284332,45.83076214790344,523.6171493806357,1.1570185869881595,13.158571264832899,verify,22,,
32,region_5,region_1,pfp,,7,697.4354471647061,51.833510875701904,112.19638459169029,0.16086992000163425,589.3945306839344,verify,7,,
33,region_5,region_2,pfp,,7,633.0413962569659,54.63349509239197,185.86299417957912,0.2936032229148773,456.14499667308655,verify,10,,
34,region_5,region_3,pfp,,7,535.1691822549889,41.653083086013794,416.829764912876,0.7788747535060261,130.89396131527965,verify,23,,
35,region_5,region_4,pfp,,2,388.0135013250943,37.01322364807129,395.41875273606007,1.019085035406439,11.667799507531397,verify,20,,
36,region_5,region_6,pfp,,2,296.6697741154995,35.07905459403992,319.6771738170136,1.0775522203773846,11.228705114162203,verify,15,,
37,region_5,base_1,pfp,,4,518.3562552121417,45.60931348800659,200.09210135194718,0.38601270716808034,349.00420157110835,verify,10,,
38,region_5,base_2,pfp,,4,361.6679050311063,38.07165217399597,244.14737284709085,0.6750595489696335,143.9901212274427,verify,14,,
39,region_5,base_3,pfp,,2,403.00514327285606,38.57701063156128,424.0386463705855,1.052191649284954,9.889894515547237,feasible,20,,
40,region_6,region_1,pfp,,6,943.386637408425,50.56035566329956,1132.8155037942533,1.2007966393357106,12.356674011620237,verify,51,,
41,region_6,region_2,pfp,,5,788.3504002779168,64.06189274787903,830.8369194225635,1.0538929378733985,7.31050638636634,feasible,33,,
42,region_6,region_3,pfp,,1,550.8277417826804,45.11160206794739,613.1036001670528,1.1130586817991863,7.900327032618636,feasible,24,,
43,region_6,region_4,pfp,,2,407.6777086766563,38.88446545600891,419.77848327615476,1.029682208131463,7.166884205255654,feasible,17,,
44,region_6,region_5,pfp,,2,296.6697741154995,32.79298710823059,365.39415333747706,1.231652784402707,2.553615992190963,feasible,15,,
45,region_6,base_1,pfp,,2,696.2439711888061,54.47228145599365,746.2425806878089,1.071811910146428,5.323571772118847,feasible,31,,
46,region_6,base_2,pfp,,3,656.9573875005123,38.516401052474976,810.9726018485085,1.234437145054368,7.7740450825090806,feasible,34,,
47,region_6,base_3,pfp,,0,106.96004500988776,35.66811418533325,121.04698287068268,1.1317028041591854,8.99801873392943,feasible,6,,
48,base_1,region_1,pfp,,0,316.6454075722452,36.546367168426514,332.9454047334449,1.051477131110707,11.243919071591012,verify,16,,
49,base_1,region_2,pfp,,0,121.15525698733995,36.2531521320343,115.6197834236196,0.9543109089826883,14.52991236018119,verify,6,,
50,base_1,region_3,pfp,,3,339.2394406545742,37.575735330581665,382.8486609360734,1.1285499710686755,2.6704497919710906,feasible,17,,
51,base_1,region_4,pfp,,2,353.11597637796075,38.076348543167114,358.612029710094,1.0155644425622095,12.42528381087606,verify,18,,
52,base_1,region_5,pfp,,4,518.3562552121417,46.07123827934265,614.2579211370576,1.1850111095614488,10.795266358201419,verify,27,,
53,base_1,region_6,pfp,,2,696.2439711888061,54.374425411224365,500.34937182651964,0.7186408680454281,244.49833419653288,verify,22,,
54,base_1,base_2,pfp,,0,447.7308871610957,36.077088832855225,450.51583962305193,1.0062201481778812,15.083865004932951,verify,22,,
55,base_1,base_3,pfp,,0,769.594910346969,52.87356376647949,843.9794789026162,1.0966541846308615,18.997679200550028,verify,35,,
56,base_2,region_1,pfp,,2,439.8029760194451,38.21608901023865,444.3435940084619,1.010324209331444,19.548370350961168,verify,18,,
57,base_2,region_2,pfp,,3,561.6830281191778,38.54920482635498,563.1237317441819,1.0025649762461728,4.2246731548299445,feasible,29,,
58,base_2,region_3,pfp,,5,673.8451171985862,55.29343342781067,287.5180107252545,0.4266826357970347,407.98120794985977,verify,14,,
59,base_2,region_4,pfp,,4,578.1423053352579,52.114922523498535,308.8512675809436,0.5342132286995404,304.25277936105283,verify,14,,
60,base_2,region_5,pfp,,4,361.6679050311063,35.956246852874756,51.56421423324086,0.14257337606112971,319.5560346552779,verify,5,,
61,base_2,region_6,pfp,,3,656.9573875005123,40.54755783081055,259.5646809725225,0.3951012438722597,429.57969357785134,verify,14,,
62,base_2,base_1,pfp,,0,447.7308871610957,38.021933794021606,453.5114762523758,1.012910856179552,13.94733129004253,verify,23,,
63,base_2,base_3,pfp,,3,762.1250565055111,38.842143297195435,315.44702036552627,0.4139045392522732,529.8639405709366,verify,16,,
64,base_3,region_1,pfp,,5,1032.0383310752431,52.87724566459656,1156.6520313658987,1.1207452248026728,11.899177369292138,verify,52,,
65,base_3,region_2,pfp,,6,852.9026076265086,64.52333545684814,958.9760260088767,1.1243675625257536,11.475821287307198,verify,39,,
66,base_3,region_3,pfp,,2,581.7048850048186,49.87778115272522,577.1600256055448,0.9921870014909085,16.09728760062224,verify,22,,
67,base_3,region_4,pfp,,2,452.5572495284332,43.51702380180359,492.256765998364,1.0877226395363193,19.22261007471603,verify,20,,
68,base_3,region_5,pfp,,2,403.00514327285606,35.32362771034241,476.1351066545885,1.181461613089686,2.619143140258964,feasible,20,,
69,base_3,region_6,pfp,,0,106.96004500988776,33.401113986968994,110.35797864947416,1.0317682517735691,4.817058048879407,feasible,6,,
70,base_3,base_1,pfp,,0,769.594910346969,52.91973423957825,867.0018027900862,1.1265690444849767,6.261215184512137,feasible,36,,
71,base_3,base_2,pfp,,3,762.1250565055111,37.931196451187134,930.0375423783066,1.22032143470352,8.243187073187233,feasible,39,,
